epoch,tr_loss,val_loss,tr_acc,val_acc
1,1.8025731792052586,0.945137074765037,0.49604221635883905,0.6654275092936803
2,0.9890220165252686,0.832737989285413,0.6205804749340369,0.7304832713754646
3,0.9579486767450969,0.7487816933323356,0.6358839050131926,0.7379182156133829
4,0.8800168007612228,0.8110472279436448,0.6744063324538259,0.7453531598513011
5,0.8760780344406763,0.7684866452918333,0.6686015831134564,0.7026022304832714
6,0.8294834151864052,0.6796524051357719,0.683377308707124,0.7676579925650557
7,0.7841574842731158,0.6884949417675242,0.7097625329815304,0.758364312267658
8,0.7224339003364245,0.682515479186002,0.7303430079155673,0.7657992565055762
9,0.6814321895440419,0.7417598883895313,0.7472295514511873,0.7565055762081785
10,0.7255036160349846,0.7088872264413273,0.7377308707124011,0.7509293680297398
