epoch,tr_loss,val_loss,tr_acc,val_acc
1,1.33082557618618,0.7731997651212356,0.46226912928759895,0.8568773234200744
2,0.7174738357464473,0.41456276879591103,0.8269129287598944,0.949814126394052
3,0.47706999282042184,0.2837093235815273,0.8992084432717679,0.9609665427509294
4,0.37459759165843326,0.21422814533990972,0.9266490765171504,0.966542750929368
5,0.3055971967677275,0.17777088876156247,0.9366754617414248,0.9721189591078067
6,0.26165519244968893,0.1516947733128772,0.9403693931398417,0.9721189591078067
7,0.23107359533508617,0.14078289467622251,0.9482849604221636,0.9702602230483272
8,0.21351271644234657,0.12521340917138493,0.950395778364116,0.9739776951672863
9,0.1942430882404248,0.1161217449561638,0.9588390501319262,0.9795539033457249
10,0.1758283019065857,0.10433701798319817,0.9604221635883905,0.9795539033457249
11,0.1783780250698328,0.10004366572727175,0.9551451187335093,0.9814126394052045
12,0.16537236832082272,0.09628066332901225,0.9604221635883905,0.9776951672862454
13,0.14944930815448362,0.09713687216315199,0.9651715039577836,0.9739776951672863
14,0.14028046932071447,0.08828784202170722,0.9646437994722955,0.9814126394052045
15,0.1419995253905654,0.0815042657777667,0.9625329815303431,0.9851301115241635
16,0.13655917638291915,0.07986463507746949,0.9646437994722955,0.9851301115241635
17,0.13148868832116326,0.07828700098702136,0.9656992084432717,0.983271375464684
18,0.143665713754793,0.08406772815129336,0.9609498680738786,0.9739776951672863
19,0.13624863121658565,0.07176459487527609,0.9604221635883905,0.9869888475836431
20,0.14562221492330232,0.07051282307571348,0.9614775725593667,0.9851301115241635
21,0.11858721027771632,0.06758993612054516,0.9656992084432717,0.983271375464684
22,0.09992909307281177,0.07099724336362936,0.9751978891820581,0.9795539033457249
23,0.11090174624696374,0.0670461215708843,0.9720316622691293,0.983271375464684
24,0.1213914602684478,0.06510361577110256,0.9672823218997362,0.9869888475836431
25,0.12165099109212557,0.06376071883748997,0.9672823218997362,0.9851301115241635
26,0.11422522912422815,0.06181395274367841,0.9641160949868074,0.9869888475836431
27,0.10824586475888888,0.05988036685020608,0.9699208443271767,0.9869888475836431
28,0.09330342100001872,0.06289473080131061,0.9794195250659631,0.983271375464684
29,0.0954912293702364,0.06483701937010183,0.97467018469657,0.9814126394052045
30,0.09727122983895242,0.0624292371520663,0.9699208443271767,0.983271375464684
