epoch,tr_loss,val_loss,tr_acc,val_acc
1,1.4343414356311162,0.9561968445777893,0.5013192612137203,0.6728624535315985
2,1.0104203393061957,0.8332854702192194,0.6221635883905013,0.6970260223048327
3,0.901045349240303,0.7026662195430082,0.658047493403694,0.7397769516728625
4,0.83956149071455,0.8739225496264065,0.6902374670184697,0.6765799256505576
5,0.8402726729710897,0.7720495742910048,0.6823218997361478,0.7174721189591078
6,0.7815211683511734,0.6916677601197186,0.700263852242744,0.7695167286245354
7,0.7069739947716395,0.7899278744178659,0.7467018469656992,0.7193308550185874
8,0.6564107572038969,0.697842068531934,0.7593667546174142,0.7565055762081785
9,0.6005722805857658,0.6882620559019201,0.7788918205804749,0.758364312267658
10,0.5830173681179682,0.7927038529339958,0.7868073878627968,0.7379182156133829
